### single sample analysis
scriptname	memory	threads
align_novo.sh	4G	4
align_read_bwa.sh	1G	4
align_bwa.sh	12G	1
processBAM.sh	12G	1
extract_reads_bam.sh	6G	1
reformat_BAM.sh	8G	1
split_bam_chr.sh	2G	1
realign_recal.sh	8G	1
igv_bam.sh	2G	1
variants.sh	3G	4
merge_variant_single.sh	3G	4
OnTarget_BAM.sh	1G	1
OnTarget_PILEUP.sh	3G	1
getCoverage.sh	512M	1
reformat_VARIANTs_OnTarget.sh	4G	1
OnTarget_variant.sh	1G	1
reformat_VARIANTs.sh	3G	1
sift.sh	3G	1
polyphen.sh	2G	4
snpeff.sh	3G	1
sample_reports.sh	3G	1
sample_report.sh	512M	1
